;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;E175M850238;175M850238;; 33.437 ; 39.067 ; 21.920 ; 26.455 ; 5.630 ; 4.535 ; 370 ; -   ; $440,62 ; $6,65 ; $- ; $447,26 ; $306.260,06 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E175M850238
;E174M950004;174M950004;; 2.286 ; 2.310 ; 10.932 ; 11.342 ; 24 ; 410 ; 5.976 ; 2.090 ; $31,12 ; $107,39 ; $156,44 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M950004
;E174M850471;174M850471;; 17.042 ; 17.534 ; 3.734 ; 4.874 ; 492 ; 1.140 ; 5.508 ; 1.360 ; $94,17 ; $98,98 ; $101,80 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850471
;E174M850585;174M850585;; 12.480 ; 13.177 ; 15.754 ; 16.896 ; 697 ; 1.142 ; 5.303 ; 1.358 ; $98,00 ; $95,29 ; $101,65 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC4503;
;E174MB50155;174MB50155;; 40.301 ; 43.115 ; 10.416 ; 11.891 ; 2.814 ; 1.475 ; 3.186 ; 1.025 ; $160,97 ; $57,25 ; $76,72 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174MB50155
;E174M850548;174M850548;; 18.250 ; 19.153 ; 16.903 ; 18.912 ; 903 ; 2.009 ; 5.097 ; 491 ; $166,60 ; $91,59 ; $36,75 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850548
;E174M850406;174M850406;; 31.733 ; 33.309 ; 15.379 ; 16.720 ; 1.576 ; 1.341 ; 4.424 ; 1.159 ; $128,69 ; $79,50 ; $86,75 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850406
;E174M850558;174M850558;; 23.078 ; 24.021 ; 23.174 ; 24.890 ; 943 ; 1.716 ; 5.057 ; 784 ; $145,39 ; $90,87 ; $58,68 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC4503;
;S9349501239;L9349501239;; 432 ; 458 ; 753 ; 783 ; 26 ; 30 ; 2.974 ; 1.470 ; $2,71 ; $53,44 ; $110,03 ; $166,19 ; $113.793,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC430DN;
;E174MB50164;174MB50164;; 24.318 ; 26.244 ; 12.012 ; 13.299 ; 1.926 ; 1.287 ; 4.074 ; 1.213 ; $130,94 ; $73,21 ; $90,79 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174MB50164
